"","ccode","year","country","icrg_bq","icrg_ip","ifuel","isxp","log_milex_cap","log_rgdpch","milper","p_polity2","p_polity2_sq","rgdpch","rpc1","sip2","taxratio","totrev","xpolity","xpolity_sq","yhat","yhat_2"
"293",150,1985,"Paraguay",0,8,0.72000002861023,0.090999998152256,2.80707311630249,8.50564098358154,14,-8,64,4938.21435546875,0.463389903306961,0.132770984752,0.0553999990224838,0.0970999971032143,-5,25,-2.81739711761475,2.81739711761475
"294",150,1986,"Paraguay",0,6.82999992370605,0.668200016021729,0.105599999427795,3.01961874961853,8.47390747070312,16,-8,64,4783.9833984375,0.457034289836884,0.132770984752,0.0595000013709068,0.0973999947309494,-5,25,-2.42286992073059,2.42286992073059
"295",150,1987,"Paraguay",0,5,0,0.120200000703335,2.90987992286682,8.48663711547852,16,-8,64,4845.2646484375,0.480546087026596,0.132770984752,0.066100001335144,0.101499997079372,-5,25,-1.80578899383545,1.80578899383545
"296",150,1988,"Paraguay",0,5,0.564599990844727,0.134800001978874,3.05761766433716,8.52332592010498,16,-8,64,5026.31396484375,0.460288792848587,0.132770984752,0.0722000002861023,0.0973000079393387,-5,25,-1.80578899383545,1.80578899383545
"297",150,1989,"Paraguay",0,5,0.51280003786087,0.149400003254414,2.69582939147949,8.55154800415039,16,2,4,5170.17236328125,0.472035586833954,0.480958189785,0.0763999968767166,0.113800004124641,1,1,-1.80578899383545,1.80578899383545
"298",150,1990,"Paraguay",0,6.42000007629395,0.461000025272369,0.164000004529953,2.37635445594788,8.54081058502197,16,2,4,5114.9609375,0.477627485990524,0.480958189785,0.0807999968528748,0.123000003397465,1,1,-2.28461694717407,2.28461694717407
"299",150,1991,"Paraguay",0.330000013113022,7.82999992370605,0,0.147800002992156,3.20633792877197,8.53937721252441,16,2,4,5107.63525390625,0.462997198104858,0.480958189785,0.0727000012993813,0.118299998342991,1,1,-2.43007278442383,2.76007270812988
"300",150,1992,"Paraguay",1.83000004291534,8,0,0.131600001454352,3.25914978981018,8.54006767272949,16,7,49,5111.16259765625,0.402688801288605,0.703180412007,0.0584999993443489,0.124300003051758,6,36,-0.987397134304047,2.81739711761475
"301",150,1993,"Paraguay",2,8,0,0.115399999916555,3.10436606407166,8.55450630187988,16,7,49,5185.48828125,0.384055495262146,0.703180412007,0.0590000003576279,0.130300000309944,6,36,-0.817397177219391,2.81739711761475
"302",150,1994,"Paraguay",2,8,0,0.0991999983787579,2.88325428962708,8.54923629760742,16,7,49,5158.23583984375,0.401704013347626,0.703180412007,0.0612000003457069,0.13910000026226,6,36,-0.817397177219391,2.81739711761475
"303",150,1995,"Paraguay",2,8,0,0.0829999968409538,3.14406657218933,8.56973266601562,16,7,49,5265.04052734375,0.466791093349457,0.703180412007,0.0696000009775162,0.153899997472763,6,36,-0.817397177219391,2.81739711761475
"304",150,1996,"Paraguay",2,8,1,0.0829999968409538,3.29744267463684,8.56249332427979,16,7,49,5227.06640625,0.35235196352005,0.703180412007,0.0546999983489513,0.150399997830391,6,36,-0.817397177219391,2.81739711761475
"305",150,1997,"Paraguay",1.58000004291534,9,0,0.0829999968409538,3.27154469490051,8.56623458862305,16,7,49,5246.6572265625,0.344494134187698,0.703180412007,0.0538999997079372,0.157600000500679,6,36,-1.57459986209869,3.15459990501404
"306",150,1998,"Paraguay",1,8.32999992370605,0,0.0829999968409538,3.25239419937134,8.54115390777588,16,6,36,5116.71728515625,0.332660406827927,0.75578941634,0.0524999983608723,0.160699993371964,5,25,-1.92867410182953,2.92867398262024
"307",150,1999,"Paraguay",1,6,0,0.0829999968409538,3.17343950271606,8.52894592285156,17,7,49,5054.638671875,0.335446894168854,0.5,0.0500999987125397,0.169599995017052,6,36,-1.14299178123474,2.14299178123474
"308",155,1984,"Chile",2.57999992370605,2.67000007629395,1,0.194800001382827,4.91349220275879,8.65805339813232,123,-6,36,5751.1533203125,1.03260695934296,0,0.0939000025391579,0.289099991321564,-3,9,1.55989325046539,1.02010667324066
"309",155,1985,"Chile",2,3,0,0.206000000238419,4.13829660415649,8.65315628051758,124,-6,36,5723.06103515625,0.967256426811218,0,0.099200002849102,0.283600002527237,-3,9,0.8686164021492,1.13138353824615
"310",155,1986,"Chile",2,3.17000007629395,0,0.212799999117852,4.10077333450317,8.68532085418701,127,-6,36,5910.11376953125,0.952824592590332,0,0.105800002813339,0.269300013780594,-3,9,0.811291933059692,1.18870806694031
"311",155,1987,"Chile",2,5.25,0,0.219599997997284,4.14342832565308,8.7244930267334,127,-6,36,6146.19482421875,0.923499524593353,0,0.109399996697903,0.25450000166893,-3,9,0.109910286962986,1.89008975028992
"312",155,1988,"Chile",2,7,0,0.226399996876717,3.96230626106262,8.77516460418701,96,-1,1,6465.62353515625,0.771596014499664,0,0.0917000025510788,0.225500017404556,-2,4,-0.480194479227066,2.48019456863403
"313",155,1989,"Chile",2,7.17000007629395,0,0.23319999575615,3.90808033943176,8.85554218292236,95,8,64,7006.71337890625,0.724606215953827,0.796569643997,0.102399997413158,0.218999996781349,6,36,-0.537518978118896,2.5375189781189
"314",155,1990,"Chile",2,7.42000007629395,1,0.239999994635582,3.72156453132629,8.87064456939697,95,8,64,7113.3232421875,0.69567221403122,0.796569643997,0.0922999978065491,0.207399994134903,6,36,-0.62181967496872,2.62181973457336
